datetime,portfolio_value,cash,positions,return
2020-01-02 08:30:00-05:00,100000.0,100000.0,[],
2020-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 11:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 12:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 13:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 14:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 15:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 16:29:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 16:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 11:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 12:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 13:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 14:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 15:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 16:29:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 16:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 11:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 12:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 13:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 14:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 15:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 16:29:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 16:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 11:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 12:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 13:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 14:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 15:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 16:29:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 16:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 11:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 12:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 13:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 14:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 15:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 16:29:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 16:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 11:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 12:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 13:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 14:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 15:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 16:29:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 16:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-10 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-10 10:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-10 11:30:00-05:00,100000.0,100000.0,[],0.0
